Begriff;Definition;Erläuterung;Verwendungshinweis;Von;Bis
Eisenbahnstrecke;Eine Eisenbahnstrecke ist ein Schienenweg für den spurgebundenen Eisenbahnverkehr auf eigenem Bahnkörper.;Zur Eisenbahnstrecke gehören die Bahnhöfe, die freien Strecken zwischen den Bahnhöfen sowie die sonstigen Bahnanlagen (wie Betriebswerke, Brücken, Bahnübergänge). Die Strecken werden nach Haupt- und Nebenstrecken, Kleinbahnen, Werkbahnen und Stadtschnellbahnen unterschieden.;;;
Eisenhütte;Ein Eisenhüttenwerk ist ein Hüttenwerk, in dem Eisen aus Erz gewonnen wird.;;;;
Eisgrube;Eine Eisgrube ist eine Grube, in der Lebensmittel und Getränke mit Hilfe von dort eingelagertem Eis gekühlt werden.;;;;
Eiskeller;Ein Eiskeller ist ein Keller und ein Raum, in dem früher Eis aufbewahrt wurde.;;;;
Entwässerungsgraben;Ein Entwässerungsgraben ist ein Wassergraben, der künstlich angelegt ist, der Abführung überschüssigen Wassers, beispielsweise auf landwirtschaftlichen Flächen dient und im Gegensatz zu einem Entwässerungskanal weder ausgebaut noch befestigt ist.;;;;
Erdkeller;Ein Erdkeller ist ein Keller, der aus einem einfachen Loch im Erdreich besteht, das meist in einen Hang hineingegraben und mit Mauerwerk und Deckenkonstruktion ausgebaut wird.;;;;
Erdwerk (Archäologie);Ein Erdwerk ist eine Befestigungsanlage, die aus einer Grabenanlage mit einem oder mehreren Zugängen besteht.;Das hinter dem Graben im Inneren der Anlage anzunehmende Annäherungshindernis in Form eines Walles oder einer Palisade kann im archäologischen Befund gelegentlich nachgewiesen oder erschlossen werden.;;;
Erzröstplatz;Ein Erzröstplatz ist ein offener Raum, auf dem sich Röstherde für die Erze befinden und der häufig Bestandteil eines Verhüttungsplatzes ist.;;;;
Erzwäsche (Vorrichtung);;;;;
Eskarpe;Eine Eskarpe ist der Bestandteil einer Festung, der die Innenseite bzw. Festungsseite eines Festungsgrabens markiert.;;;;
Explosionskrater;Ein Explosionskrater ist ein offener Raum, welcher durch eine trichterförmige Vertiefung der Erdoberfläche gekennzeichnet ist.;Die Vertiefung kann dabei durch eine vulkanische Eruption oder durch die Explosion einer Bombe oder eines Geschosses entstanden sein.;;;
Fabrica;Eine Fabrica ist eine Werkstatt, die in römischer Zeit für fast alle Gewerbezweige mit einfacher Technik und Arbeitsteilung genutzt wurde. Es gab private, staatliche und militärische Fabricae.;;;;
Fabrik (Baukomplex);Eine Fabrik ist eine Industrieanlage, die aus einem  Fabrikgelände und mehreren Gebäuden besteht und in der vorwiegend Massengüter industriell gefertigt werden.;Die Verwaltung des Betriebes erfolgt getrennt von der Produktion.;;;
Fachwerkständerbau;Ein Fachwerkständerbau ist ein Holzfachwerkbau, dessen Ständer vom Boden bis zum Dach durchlaufen.;;;;
Fäkalienrinne;Eine Fäkalienrinne ist ein Bauwerk, das der Entsorgung von Fäkalien dient und die Form einer Furche oder einer Röhre besitzt.;;;;
Färberei (Wirtschaft);Eine Färberei ist ein Betrieb, in dem Textilien gefärbt werden.;;Benutzt für den Handwerksbetrieb und den Industriebetrieb.;;
Färbergrube;Eine Färbergrube ist eine Grube, in der die Färber ein Farbbad erzeugen, in dem Textilien gefärbt werden.;;;;
Faschine;Eine Faschine ist ein Materialverbund aus Reisig und Drähten, der der Sicherung von Böschungen dient.;Das Reisig wird mit Hilfe von Draht zu walzenförmigen Bündeln zusammengefügt.;;;
Feldbegrenzung (Landwirtschaft);;;;;
Feldbrandofen;Ein Feldbrandofen ist ein Brennofen, der nicht aufgemauert wird, sondern ausschließlich aus den zu brennenden Rohlingen besteht.;;;;
Feldstellung;Eine Feldstellung ist eine Feldbefestigung, die von der kämpfenden Truppe zum eigenen Schutz angelegt wird.;Es handelt sich zumeist um ausgehobene Gräben, Deckungslöcher oder Sicherungsbauten (Feldunterstände). Die Anlagen wurden z.T. mit Holz ausgebaut, vor allem die Feldunterstände.;;;
Felsbild;Ein Felsbild ist ein visuelles Werk, das in einen Felsen geritzt oder auf den Felsen gemalt wird.;;;;
Felsheiligtum;Ein Felsheiligtum ist ein Naturheiligtum, an dem kultische Handlungen in unmittelbarer Verbindung an offenen, natürlichen Felsen, Felsspalten usw. vollzogen werden.;;;;
Festes Haus;Ein Festes Haus ist ein Gebäude, das einem adligen Besitzer als Wohngebäude dient, aber auch Wehrfunktion hat, Repräsentationszwecke erfüllt und mit relativ starken Mauern versehen ist.;;;;
Festung;Eine Festung ist eine Befestigungsanlage, die vorrangig zu militärischen Verteidigungszwecken dauerhaft errichtet wurde und zumeist aus mehreren untergeordneten Wehrbauten besteht.;Die hauptsächlich vom Ende des 15. Jahrhunderts bis in die erste Hälfte des 20. Jahrhunderts entstandenen Festungen sind in ihrer Form und Ausbildung von der gleichzeitigen Entwicklung der Feuerwaffen abhängig.;;;
Feuerstelle;Eine Feuerstelle ist eine Verfärbung, die durch darin liegende Brandreste, wie Holzkohle oder Asche entsteht, und sowohl auf der Oberfläche liegen kann aber auch in einer grubenartigen Vertiefung.;;;;
Feuerungskanal;;;;;
Feuerungsraum;;;;;
Feuerungstür;;;;;
Findling (Geologie);Ein Findling ist ein Gesteinsblock, der durch einen Gletscher über eine größere Entfernung mittransportiert wird und nach dem Abschmelzen des Gletschers zurückbleibt.;;;;
Fischteich;Ein Fischteich ist ein Teich, in dem Fische gehalten und gezüchtet werden.;;;;
Flachgrab;Ein Flachgrab ist ein Grab, das oberflächlich durch keine Erdaufschüttung gekennzeichnet ist.;;;;
Flachsröste (Grube);Eine Flachsröste ist eine Grube, die mit Wasser gefüllt ist und in der Flachs mehrere Wochen fault.;Dadurch löst sich die spinnbare Flachsfaser von den holzigen Pflanzenbestandteilen.;;;
Flakstellung;Eine Flakstellung ist eine Geschützstellung, in der Flugabwehrgeschütze (Flugabwehrkanone, Fliegerabwehrkanone - FLAK) aufgestellt und bedient werden.;;;;
Fließgewässer;Ein Fließgewässer ist ein Oberflächengewässer mit ständig oder zeitweilig fließendem Wasser.;;;;
Flottenlager;Ein Flottenlager ist ein Auxiliarlager, das vom Römischen Reich als Standquartier der Flotte genutzt wurde.;;;;
Fluchtgang;Ein Fluchtgang ist ein Gang, der als Fluchtmöglichkeit in Notfällen dient.;Fluchtgänge finden sich in Befestigungsanlagen, in Häusern, Bergwerken, Industrieanlagen usw. Sie können direkt in den anstehenden Boden oder Fels getrieben worden sein oder separat errichtet und anschließend zugedeckt worden sein.;;;
