Begriff;Definition;Erläuterung;Verwendungshinweis;Von;Bis
Cleaver;Ein Cleaver ist ein keilförmiges Steingerät mit einer beilähnlichen oder meißelartigen Schneide. Cleaver können einseitig oder beidseitig flächenretuschiert sein und werden meist aus Abschlägen hergestellt.;;;;
Dach;Ein Dach ist ein Bauteil, welches ein Bauwerk nach oben abschließt und gegen Witterungseinflüsse schützt.;;;;
Dachrinne;Eine Dachrinne ist der Bestandteil eines Daches, die das ablaufende Regenwasser durch einen Trichter über ein Fallrohr ableitet.;;;;
Dachziegel;Ein Dachziegel ist Baukeramik, die als Dachdeckung verwendet wird.;;;;
Daube (Holz);;;;;
Dechsel;;Die Schneide der Dechselklinge steht quer zur Schäftung und hat einen asymmetrischen Längsschnitt und kann einen symmetrischen oder asymmetrischen Querschnitt haben. Die Oberfläche der Dechselklinge wird partiell oder ganz geschliffen und hat kein Schaftloch.;"Benutzt für das vollständige Werkzeug Dechsel, bestehend aus Dechselklinge und Dechselschaft; bei Fehlen des Dechselschaftes Dechselklinge verwenden.";;
Dechselklinge;"Die Dechselklinge ist der schneidende Bestandteil des Werkzeugs Dechsel; ihr Längsschnitt ist asymmetrisch, sie hat kein Schaftloch, sondern wird in den Dechselschaft eingesetzt.";Die Schneide der Dechselklinge steht quer zur Schäftung und hat einen asymmetrischen Längsschnitt und kann einen symmetrischen oder asymmetrischen Querschnitt haben. Die Oberfläche der Dechselklinge wird partiell oder ganz geschliffen und hat kein Schaftloch.;Benutzt für die schneidende Klinge des Dechsels, ist der Schaft erhalten s. Dechsel;;
Decke (Architektur);Eine Decke ist ein Bauteil, das einen Raum nach oben als weitgehend ebene Fläche abschließt.;;;;
Deckel (Verschluss);Ein Deckel ist ein abnehmbarer oder aufklappbarer Verschluss, der auf die obere Öffnung von Behältern aufgesetzt wird. Im Gegensatz zu Stöpseln verschließen Deckel Behälter von außen.;;;;
Deichsel (Fahrzeugteil);Eine Deichsel ist ein Fahrzeugteil, das als feste oder bewegliche Zugvorrichtung und Lenkvorrichtung an antriebslosen Fahrzeugen genutzt wird.;;;;
Dendroprobe;Eine Dendroprobe ist eine Materialprobe, die aus Hölzern zumeist Bauhölzern, für eine dendrochronologische Datierung entnommen wird.;;;;
Devotionalie;Eine Devotionalie ist ein religiöser Gegenstand, der zur privaten religiösen Andacht oder Verehrung genutzt wird. Vorrangig werden Devotionalien im Christentum genutzt, finden aber auch in anderen Religionen Anwendung.;;;;
Dia (Foto);Ein Dia ist eine Fotografie aus einem positiv belichteten Film, das zum Zweck der Projektion auf einen transparenten physischen Bildträger aufgetragen wird.;;;;
Diafilm;Ein Diafilm ist ein fotografischer Film, der nach dem Entwickeln ein positives Bild zeigt.;;;;
Dihedralstichel;;;;;
Diptychon;Ein Diptychon ist ein visuelles Werk, das ein schmal-rechteckiges, zusammenklappbares Paar von Täfelchen aus Holz bezeichnet, das aus Elfenbein oder Edelmetall besteht und innen mit einer Wachseinlage ausgestattet ist, die zum Schreiben benutzt wird.;;;;
Diskoider Kern;;;;;
Dokument (Objekttyp);;;;;
Dolch (Waffe);Ein Dolch ist eine Blankwaffe, die eine kurze mehrschneidige Klinge, eine Griffstange und einen in der Regel symmetrischen Griff besitzt. Sie ist für eine stoßende Bewegung konzipiert.;;;;
Dolchklinge;;;;;
Dolchscheide;;;;;
Dolium;Ein Dolium ist ein sehr großes Gefäß aus gebranntem Ton, das in weiten Teilen des Römischen Reichs vor allem zur Lagerung von Lebensmitteln verwendet wurde. Diese größte römische Gefäßform zeichnet sich durch einen bauchigen Körper ohne Henkel, meist ohne Hals und eine weite Öffnung aus. Dolia konnten mannshoch sein und ein Volumen von bis zu zwei Kubikmetern besitzen.;;;;
Dose (Behälter);Eine Dose ist ein kleiner Behälter mit Deckel, oft dekorativ gestaltet, der der Aufbewahrung dient.;;Für die ebenfalls als Dose bezeichnete Verkaufsverpackung aus Blech verwende Konservendose wk007588.;;
Draht;Ein Draht ist ein Metall, das schnurförmig lang ausgezogen, dünn und biegsam ist.;;;;
Drehhandmühle;;;;;
Dreieck (Mikrolith);;;;;
Dreifuß (Ständer);Ein Dreifuß ist ein Ständer, der dem Erhitzen oder Kochen dient.;;;;
Druckgrafik;;;;;
Dufourlamelle;;;;;
Egge (Bodenbearbeitungsgerät);Eine Egge ist ein Bodenbearbeitungsgerät, das der Auflockerung des Bodens, der Unkrautbekämpfung und dem Einarbeiten von Saatgut und Dünger auf dem Acker dient.;;;;
